date,date2,c,currency,1,rus_currency,num
10.01.2020,10.01.2020,840,USD,1,Доллар США,61.234
10.01.2020,10.01.2020,978,EUR,1,Евро,68.0555
11.01.2020,11.01.2020,840,USD,1,Доллар США,61.2632
11.01.2020,11.01.2020,978,EUR,1,Евро,68.045
12.01.2020,12.01.2020,840,USD,1,Доллар США,61.2632
12.01.2020,12.01.2020,978,EUR,1,Евро,68.045
13.01.2020,13.01.2020,840,USD,1,Доллар США,61.2632
13.01.2020,13.01.2020,978,EUR,1,Евро,68.045
14.01.2020,14.01.2020,840,USD,1,Доллар США,60.9474
14.01.2020,14.01.2020,978,EUR,1,Евро,67.8162
15.01.2020,15.01.2020,840,USD,1,Доллар США,61.414
15.01.2020,15.01.2020,978,EUR,1,Евро,68.4213
16.01.2020,16.01.2020,840,USD,1,Доллар США,61.4328
16.01.2020,16.01.2020,978,EUR,1,Евро,68.3747
17.01.2020,17.01.2020,840,USD,1,Доллар США,61.5694
17.01.2020,17.01.2020,978,EUR,1,Евро,68.656
18.01.2020,18.01.2020,840,USD,1,Доллар США,61.5333
18.01.2020,18.01.2020,978,EUR,1,Евро,68.5358
19.01.2020,19.01.2020,840,USD,1,Доллар США,61.5333
19.01.2020,19.01.2020,978,EUR,1,Евро,68.5358
20.01.2020,20.01.2020,840,USD,1,Доллар США,61.5333
20.01.2020,20.01.2020,978,EUR,1,Евро,68.5358
21.01.2020,21.01.2020,840,USD,1,Доллар США,61.4654
21.01.2020,21.01.2020,978,EUR,1,Евро,68.2082
22.01.2020,22.01.2020,840,USD,1,Доллар США,61.8552
22.01.2020,22.01.2020,978,EUR,1,Евро,68.6222
23.01.2020,23.01.2020,840,USD,1,Доллар США,61.8343
23.01.2020,23.01.2020,978,EUR,1,Евро,68.5186
24.01.2020,24.01.2020,840,USD,1,Доллар США,61.9515
24.01.2020,24.01.2020,978,EUR,1,Евро,68.6856
25.01.2020,25.01.2020,840,USD,1,Доллар США,61.8031
25.01.2020,25.01.2020,978,EUR,1,Евро,68.2924
26.01.2020,26.01.2020,840,USD,1,Доллар США,61.8031
26.01.2020,26.01.2020,978,EUR,1,Евро,68.2924
27.01.2020,27.01.2020,840,USD,1,Доллар США,61.8031
27.01.2020,27.01.2020,978,EUR,1,Евро,68.2924
28.01.2020,28.01.2020,840,USD,1,Доллар США,62.338
28.01.2020,28.01.2020,978,EUR,1,Евро,68.7775
29.01.2020,29.01.2020,840,USD,1,Доллар США,62.8299
29.01.2020,29.01.2020,978,EUR,1,Евро,69.226
30.01.2020,30.01.2020,840,USD,1,Доллар США,62.3934
30.01.2020,30.01.2020,978,EUR,1,Евро,68.6764
31.01.2020,31.01.2020,840,USD,1,Доллар США,63.0359
31.01.2020,31.01.2020,978,EUR,1,Евро,69.4151
01.02.2020,01.02.2020,840,USD,1,Доллар США,63.1385
01.02.2020,01.02.2020,978,EUR,1,Евро,69.5976
02.02.2020,02.02.2020,840,USD,1,Доллар США,63.1385
02.02.2020,02.02.2020,978,EUR,1,Евро,69.5976
03.02.2020,03.02.2020,840,USD,1,Доллар США,63.1385
03.02.2020,03.02.2020,978,EUR,1,Евро,69.5976
04.02.2020,04.02.2020,840,USD,1,Доллар США,63.9091
04.02.2020,04.02.2020,978,EUR,1,Евро,70.7921
05.02.2020,05.02.2020,840,USD,1,Доллар США,63.4342
05.02.2020,05.02.2020,978,EUR,1,Евро,70.1265
06.02.2020,06.02.2020,840,USD,1,Доллар США,63.1742
06.02.2020,06.02.2020,978,EUR,1,Евро,69.7443
07.02.2020,07.02.2020,840,USD,1,Доллар США,62.7977
07.02.2020,07.02.2020,978,EUR,1,Евро,69.0837
08.02.2020,08.02.2020,840,USD,1,Доллар США,63.472
08.02.2020,08.02.2020,978,EUR,1,Евро,69.6288
09.02.2020,09.02.2020,840,USD,1,Доллар США,63.472
09.02.2020,09.02.2020,978,EUR,1,Евро,69.6288
10.02.2020,10.02.2020,840,USD,1,Доллар США,63.472
10.02.2020,10.02.2020,978,EUR,1,Евро,69.6288
11.02.2020,11.02.2020,840,USD,1,Доллар США,63.7708
11.02.2020,11.02.2020,978,EUR,1,Евро,69.8226
12.02.2020,12.02.2020,840,USD,1,Доллар США,63.949
